Light curve of GRB : bn081224887
Energy range : 50 to 300 keV
Trigger time (MET s) : 251846276.414
Tstart (s)	Counts/s
23.562018878299774	4718.75
23.62602294371542	4671.875
23.69002700913107	4281.25
23.754031074546717	4796.875
23.81803513996236	4031.25
23.882039205378014	3828.125
23.94604327079366	4218.75
24.010047336209304	4843.75
24.07405140162495	4156.25
24.1380554670406	4406.25
24.202059532456246	4187.5
24.26606359787189	4625.0
24.330067663287544	4812.5
24.39407172870319	4812.5
24.458075794118834	4421.875
24.522079859534486	4140.625
24.58608392495013	4093.75
24.650087990365776	4875.0
24.71409205578143	4265.625
24.778096121197073	4546.875
24.84210018661272	4312.5
24.906104252028364	4656.25
24.970108317444016	4343.75
25.03411238285966	4640.625
25.098116448275306	4734.375
25.162120513690958	4406.25
25.226124579106603	4281.25
25.290128644522248	4390.625
25.3541327099379	5000.0
25.418136775353545	4421.875
25.48214084076919	4453.125
25.546144906184836	4062.5
25.610148971600488	3906.25
25.674153037016133	4296.875
25.738157102431778	4515.625
25.80216116784743	4171.875
25.866165233263075	4625.0
25.93016929867872	4609.375
25.994173364094372	4343.75
26.058177429510017	4359.375
26.122181494925663	4468.75
26.186185560341315	4078.125
26.25018962575696	3578.125
26.314193691172605	4828.125
26.37819775658825	4265.625
26.442201822003902	4562.5
26.506205887419547	3906.25
26.570209952835192	4453.125
26.634214018250844	4296.875
26.69821808366649	4484.375
26.762222149082135	4187.5
26.826226214497787	4890.625
26.890230279913432	4671.875
26.954234345329077	4734.375
27.01823841074473	4578.125
27.082242476160374	4453.125
27.14624654157602	4359.375
27.210250606991664	4609.375
27.274254672407316	4171.875
27.33825873782296	4328.125
27.402262803238607	4625.0
27.46626686865426	4687.5
27.530270934069904	3718.75
27.59427499948555	3875.0
27.6582790649012	4328.125
27.722283130316846	4453.125
27.78628719573249	4046.875
27.850291261148136	4234.375
27.91429532656379	4484.375
27.978299391979434	4046.875
28.04230345739508	4421.875
28.10630752281073	3859.375
28.170311588226376	3953.125
28.23431565364202	4312.5
28.298319719057673	4296.875
28.36232378447332	4218.75
28.426327849888963	4218.75
28.490331915304616	4796.875
28.55433598072026	4328.125
28.618340046135906	4515.625
28.68234411155155	4375.0
28.746348176967203	4296.875
28.810352242382848	4359.375
28.874356307798493	4718.75
28.938360373214145	4093.75
29.00236443862979	4515.625
29.066368504045435	4578.125
29.130372569461088	4015.625
29.194376634876733	4390.625
29.258380700292378	4343.75
29.322384765708023	4390.625
29.386388831123675	3890.625
29.45039289653932	4250.0
29.514396961954965	4140.625
29.578401027370617	3875.0
29.642405092786262	4031.25
29.706409158201907	4515.625
29.77041322361756	4500.0
29.834417289033205	4500.0
29.89842135444885	4359.375
29.962425419864502	4031.25
30.026429485280147	3843.75
30.090433550695792	4062.5
30.154437616111437	4562.5
30.21844168152709	3843.75
30.282445746942734	4390.625
30.34644981235838	4187.5
30.41045387777403	4468.75
30.474457943189677	4734.375
30.538462008605322	4468.75
30.602466074020974	4531.25
30.66647013943662	4484.375
30.730474204852264	4578.125
30.79447827026791	4703.125
30.85848233568356	4484.375
30.922486401099206	4281.25
30.98649046651485	4375.0
31.050494531930504	4015.625
31.11449859734615	4500.0
31.178502662761794	4281.25
31.242506728177446	4109.375
31.30651079359309	4421.875
31.370514859008736	4531.25
31.43451892442439	4000.0
31.498522989840033	4390.625
31.56252705525568	4281.25
31.626531120671324	4531.25
31.690535186086976	3875.0
31.75453925150262	4171.875
