Tstart (s),Counts/s,Cumulative Sum
2.9527098144613646,12906.25,1882578.125
3.0167138798770097,12828.125,1895406.25
3.0807179452926583,12906.25,1908312.5
3.144722010708307,12406.25,1920718.75
3.208726076123952,11656.25,1932375.0
3.2727301415396006,12296.875,1944671.875
3.3367342069552492,12500.0,1957171.875
3.4007382723708943,13062.5,1970234.375
3.464742337786543,12140.625,1982375.0
3.528746403202188,12312.5,1994687.5
3.5927504686178366,11546.875,2006234.375
3.6567545340334853,12015.625,2018250.0
3.7207585994491303,11187.5,2029437.5
3.784762664864779,11250.0,2040687.5
3.848766730280424,10734.375,2051421.875
3.9127707956960727,10421.875,2061843.75
3.9767748611117213,10890.625,2072734.375
4.040778926527366,10968.75,2083703.125
4.104782991943015,10562.5,2094265.625
4.16878705735866,10671.875,2104937.5
4.232791122774309,10593.75,2115531.25
4.296795188189957,10406.25,2125937.5
4.360799253605602,9937.5,2135875.0
4.424803319021251,9515.625,2145390.625
4.488807384436896,11078.125,2156468.75
4.552811449852545,9828.125,2166296.875
4.616815515268193,9203.125,2175500.0
4.680819580683838,8578.125,2184078.125
4.744823646099487,9421.875,2193500.0
4.808827711515136,8265.625,2201765.625
4.872831776930781,8484.375,2210250.0
4.936835842346429,8437.5,2218687.5
5.000839907762074,8328.125,2227015.625
5.064843973177723,8906.25,2235921.875
5.128848038593372,8093.75,2244015.625
5.192852104009017,8406.25,2252421.875
5.256856169424665,9203.125,2261625.0
5.3208602348403105,8578.125,2270203.125
5.384864300255959,8203.125,2278406.25
5.448868365671608,8109.375,2286515.625
5.512872431087253,7765.625,2294281.25
5.576876496502901,8218.75,2302500.0
5.6408805619185465,8000.0,2310500.0
5.704884627334195,7781.25,2318281.25
5.76888869274984,8062.5,2326343.75
5.832892758165492,8125.0,2334468.75
5.896896823581137,7343.75,2341812.5
5.9609008889967825,7671.875,2349484.375
6.024904954412435,7453.125,2356937.5
6.08890901982808,7343.75,2364281.25
6.152913085243725,7343.75,2371625.0
6.21691715065937,7140.625,2378765.625
6.280921216075022,8140.625,2386906.25
6.344925281490667,7453.125,2394359.375
6.408929346906312,7593.75,2401953.125
6.472933412321964,7125.0,2409078.125
6.5369374777376095,7062.5,2416140.625
6.6009415431532545,6734.375,2422875.0
6.664945608568907,7234.375,2430109.375
6.728949673984552,7328.125,2437437.5
6.792953739400197,7328.125,2444765.625
6.856957804815849,7265.625,2452031.25
6.920961870231494,6593.75,2458625.0
6.984965935647139,6515.625,2465140.625
7.048970001062784,7000.0,2472140.625
7.112974066478436,6500.0,2478640.625
7.1769781318940815,6312.5,2484953.125
7.240982197309727,6375.0,2491328.125
7.304986262725379,6781.25,2498109.375
7.368990328141024,6796.875,2504906.25
7.432994393556669,7140.625,2512046.875
7.496998458972321,6500.0,2518546.875
7.561002524387966,6859.375,2525406.25
7.625006589803611,6468.75,2531875.0
7.689010655219256,6078.125,2537953.125
7.7530147206349085,6234.375,2544187.5
7.817018786050554,5984.375,2550171.875
7.881022851466199,6031.25,2556203.125
7.945026916881851,6250.0,2562453.125
8.009030982297496,6468.75,2568921.875
8.073035047713141,6218.75,2575140.625
8.137039113128793,5812.5,2580953.125
8.201043178544438,5609.375,2586562.5
8.265047243960083,5921.875,2592484.375
8.329051309375735,6015.625,2598500.0
8.39305537479138,5906.25,2604406.25
8.457059440207026,5484.375,2609890.625
8.52106350562267,4890.625,2614781.25
8.585067571038323,5546.875,2620328.125
8.649071636453968,5375.0,2625703.125
8.713075701869613,5609.375,2631312.5
